""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU_4"	1.18917639722756	1.8604024190327	2.69240925435839	0.690980546891649	0.489577766031412	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"[Eubacterium]_nodatum_group"	"Unclassified _[Eubacterium]_nodatum_group"
"OTU_8"	0.237790789223044	2.36600796604216	4.32061864095809	0.547608609473921	0.583960676521957	NA	"Bacteria"	"Spirochaetota"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Sphaerochaeta"	"Unclassified _Sphaerochaeta"
"OTU_12"	0	NA	NA	NA	NA	NA	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Morganella"	"Morganella_morganii"
"OTU_15"	0	NA	NA	NA	NA	NA	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium_longum"
"OTU_17"	0	NA	NA	NA	NA	NA	"Eukaryota"	"Vertebrata"	"Mammalia"	"Unclassified_Mammalia"	"Unclassified_Mammalia"	"Unclassified_Mammalia"	"Unclassified_Mammalia"
"OTU_20"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia_vadinBB60_group"	"Unclassified_Clostridia_vadinBB60_group"	"Unclassified_Clostridia_vadinBB60_group"	"Unclassified_Clostridia_vadinBB60_group"
"OTU_23"	0.281459101908303	-0.536927602767699	4.3146215456231	-0.124443730948402	0.90096395013759	NA	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	"Unclassified _Rothia"
"OTU_25"	0.679502381080376	-1.82674482780944	3.6949136659415	-0.49439445490913	0.621027629359622	NA	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella_9"	"Unclassified _Prevotella_9"
"OTU_26"	0	NA	NA	NA	NA	NA	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium_pseudocatenulatum"
"OTU_35"	16.2358807713297	-2.22414921006712	1.04385759650016	-2.13070175235036	0.0331137206348198	0.0905108364018408	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium_sensu_stricto_1"	"Unclassified _Clostridium_sensu_stricto_1"
"OTU_46"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Butyricicoccaceae"	"UCG-009"	"Unclassified _UCG-009"
"OTU_54"	0.534095970719727	-1.51111091971732	4.26745075584917	-0.354101548247772	0.723262781832508	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Christensenellales"	"Christensenellaceae"	"Christensenellaceae_R-7_group"	"Unclassified _Christensenellaceae_R-7_group"
"OTU_58"	3.64955182092326	1.81378182381101	1.47177412947211	1.23237784079109	0.217807974533317	NA	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Unclassified_Muribaculaceae"	"Unclassified_Muribaculaceae"
"OTU_59"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"Enterococcus_cecorum"
"OTU_63"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Unclassified_Bacilli"	"Unclassified_Bacilli"	"Unclassified_Bacilli"	"Unclassified_Bacilli"
