Barcode	Extraction_ID	Sample_ID	Propagation	Sample_type	Sample_origin	PigID	Box	Group	Litter	Sex	Birth_weight	Diarrhea_time	WCP_SI_colon	NEC_NO2	Inoculum_type	Substrate	Amount(ml)	DNA_conc[ng/ul]	Batch	Sample_time_point
BRK56R237	108	102	Other	True_sample	Pig	102-23	1	CVT_MO	1	m	1285	79	15	YES	Other	Other	Other	Other	Other	Other
BRK94R237	146	104	Other	True_sample	Pig	104-23	1	CON	1	m	1309	85	11	YES	Other	Other	Other	Other	Other	Other
BRK92R237	144	108	Other	True_sample	Pig	108-23	1	CVT_MO	1	f	1091	76	10	YES	Other	Other	Other	Other	Other	Other
BRK93R237	145	109	Other	True_sample	Pig	109-23	1	CVT_MO	1	f	1268	71	0	NO	Other	Other	Other	Other	Other	Other
BRK62R237	114	111	Other	True_sample	Pig	111-23	1	CON	1	m	949	88	0	NO	Other	Other	Other	Other	Other	Other
BRK50R237	102	112	Other	True_sample	Pig	112-23	1	CVT	1	f	1138	71	0	NO	Other	Other	Other	Other	Other	Other
BRK87R237	139	113	Other	True_sample	Pig	113-23	1	FVT	1	f	1002	43	0	NO	Other	Other	Other	Other	Other	Other
BRK84R237	136	114	Other	True_sample	Pig	114-23	1	CVT	1	m	1200	48	0	NO	Other	Other	Other	Other	Other	Other
BRK88R237	140	115	Other	True_sample	Pig	115-23	1	FVT	1	m	983	56	0	NO	Other	Other	Other	Other	Other	Other
BRK55R237	107	116	Other	True_sample	Pig	116-23	1	CON	1	f	972	96	0	NO	Other	Other	Other	Other	Other	Other
BRK60R237	112	118	Other	True_sample	Pig	118-23	1	CVT_MO	1	m	1120	88	0	NO	Other	Other	Other	Other	Other	Other
BRK51R237	103	119	Other	True_sample	Pig	119-23	1	CVT	1	f	721	91	0	NO	Other	Other	Other	Other	Other	Other
BRK59R237	111	120	Other	True_sample	Pig	120-23	1	CON	1	f	1190	96	2	YES	Other	Other	Other	Other	Other	Other
BRK90R237	142	121	Other	True_sample	Pig	121-23	1	CVT_MO	1	f	898	78	0	NO	Other	Other	Other	Other	Other	Other
BRK64R237	116	124	Other	True_sample	Pig	124-23	1	CVT	2	f	619	58	0	NO	Other	Other	Other	Other	Other	Other
BRK86R237	138	127	Other	True_sample	Pig	127-23	1	FVT	2	f	1149	76	16	YES	Other	Other	Other	Other	Other	Other
BRK85R237	137	128	Other	True_sample	Pig	128-23	1	CVT	2	f	975	67	1	NO	Other	Other	Other	Other	Other	Other
BRK63R237	115	129	Other	True_sample	Pig	129-23	1	FVT	2	m	815	43	0	NO	Other	Other	Other	Other	Other	Other
