No	exp	No_ID	Sample name	Substrate	Batch	Sample_time_point	State	Time	D	pH	Volumes	Acetate	Butyrate	Formate	Isobutyrate	Isovalerate	Lactate	Propionate	Succinate	Valerate	Ethanol	H2	CO2	H2S
1	PV_Inoc1	1	20230120 Sample39	no	B1	Inoculum	Inok	no	no	no	no	4.565651144	1.403036117	4.778290832	1.281629052	0.906201544	0	2.406002552	0.725454864	0.920336318	4.082321469	no	no	no
2	PV_Inoc2	10	20230120 Sample40	no	B2	Inoculum	Inok	no	no	no	no	3.618746181	1.072222793	3.579659643	1.010216415	0.787834187	0	1.890206297	0.557768288	0.710179312	3.447756955	no	no	no
3	PV_Inoc3	19	20230120 Sample41	no	B3	Inoculum	Inok	no	no	no	no	3.335865343	1.061295346	3.176932745	0.955180333	0.818117715	0	1.746548748	0.511579068	0.74144382	3.360351306	no	no	no
4	PV_Inoc4	28	20230120 Sample295	no	B4	Inoculum	Inok	no	no	no	no	3.721789268	1.314522018	3.7723683	1.213967192	0.979591433	0	1.971937188	0.671127032	0.940869808	4.001904307	no	no	no
5	PV_Inoc5	37	20230120 Sample296	no	B5	Inoculum	Inok	no	no	no	no	2.691504983	0.990320334	2.127656523	0.681205944	0.453278804	0	1.289098113	0.32689145	0.56736287	2.1883672	no	no	no
6	PV_Inoc6	46	20230120 Sample297	no	B6	Inoculum	Inok	no	no	no	no	3.991061068	1.742596737	4.605425303	1.576987416	1.214809752	0	2.32400037	0.858824204	1.171655269	4.948646014	no	no	no
7	PV1	3	PV1_H1	HMO	B1	Point1	Batch	2.5	0	6.64	0	2.551169278	0.118304903	1.808784693	0	0	3.047722368	6.419182334	0	0	0.179667551	3.458018355	11.452137	0
8	PV1	4	PV1_H2	HMO	B1	Point2	Batch	7.5	0	6.41	0	24.35136494	2.525232508	20.97685131	0	0	51.84186672	1.615312738	0	0	3.158387808	18.84160749	20.04671643	0
9	PV1	5	PV1_H3	HMO	B1	Point3	Batch	23	0	6.72	0	54.70797782	14.02764689	31.94898501	0.051616275	0	34.84681588	20.25887981	0	0	13.86362362	52.3326823	60.70013661	0
10	PV1	7	PV1_H5	HMO	B1	Point5	SS	49.5	0.2	6.5	5	57.47103161	18.68107079	67.97107616	0	0.690457694	2.630032868	23.03332836	0	0.38919902	27.44878351	9.124694628	57.02918389	0
