"","Pred"
"vOTU_1","temperate"
"vOTU_4","virulent"
"vOTU_5","virulent"
"vOTU_7","virulent"
"vOTU_8","virulent"
"vOTU_9","virulent"
"vOTU_11","virulent"
"vOTU_12","virulent"
"vOTU_13","virulent"
"vOTU_17","virulent"
"vOTU_18","virulent"
"vOTU_19","virulent"
"vOTU_21","virulent"
"vOTU_22","temperate"
"vOTU_24","temperate"
"vOTU_25","virulent"
"vOTU_26","virulent"
"vOTU_30","virulent"
"vOTU_31","virulent"
"vOTU_32","virulent"
"vOTU_35","virulent"
"vOTU_37","virulent"
"vOTU_41","virulent"
"vOTU_42","temperate"
"vOTU_43","virulent"
"vOTU_45","virulent"
"vOTU_50","virulent"
"vOTU_53","virulent"
"vOTU_54","virulent"
"vOTU_55","virulent"
"vOTU_56","temperate"
"vOTU_57","temperate"
"vOTU_59","virulent"
"vOTU_61","temperate"
"vOTU_62","virulent"
"vOTU_64","temperate"
"vOTU_65","virulent"
"vOTU_68","virulent"
"vOTU_69","virulent"
"vOTU_71","temperate"
"vOTU_72","virulent"
"vOTU_73","virulent"
"vOTU_75","virulent"
"vOTU_79","virulent"
"vOTU_80","virulent"
"vOTU_86","virulent"
"vOTU_87","virulent"
"vOTU_91","temperate"
"vOTU_92","virulent"
"vOTU_94","temperate"
"vOTU_96","temperate"
"vOTU_105","virulent"
"vOTU_106","virulent"
"vOTU_107","virulent"
"vOTU_108","temperate"
"vOTU_109","virulent"
"vOTU_110","virulent"
"vOTU_111","virulent"
"vOTU_119","temperate"
"vOTU_123","virulent"
"vOTU_124","virulent"
"vOTU_125","virulent"
"vOTU_131","temperate"
"vOTU_134","temperate"
"vOTU_137","virulent"
"vOTU_138","virulent"
"vOTU_141","temperate"
"vOTU_142","virulent"
"vOTU_147","virulent"
"vOTU_149","virulent"
"vOTU_153","virulent"
"vOTU_155","virulent"
"vOTU_156","virulent"
"vOTU_161","virulent"
"vOTU_162","temperate"
"vOTU_163","virulent"
"vOTU_164","temperate"
"vOTU_165","temperate"
"vOTU_166","temperate"
"vOTU_167","temperate"
"vOTU_171","virulent"
"vOTU_174","temperate"
"vOTU_175","virulent"
"vOTU_176","virulent"
"vOTU_177","virulent"
"vOTU_178","temperate"
"vOTU_183","virulent"
"vOTU_186","temperate"
"vOTU_187","temperate"
"vOTU_189","virulent"
"vOTU_190","virulent"
"vOTU_196","temperate"
"vOTU_199","virulent"
"vOTU_208","virulent"
"vOTU_209","temperate"
"vOTU_214","virulent"
"vOTU_216","virulent"
"vOTU_217","temperate"
"vOTU_219","virulent"
"vOTU_220","virulent"
"vOTU_223","virulent"
"vOTU_224","temperate"
"vOTU_225","virulent"
"vOTU_227","virulent"
"vOTU_229","virulent"
"vOTU_233","virulent"
"vOTU_237","temperate"
"vOTU_238","virulent"
"vOTU_241","virulent"
