Extraction_ID	Sample_id	Propagation	Sample_origin	Group	Litter	Sex	Birth_weight	Diarrhea_time	WCPSI_colon	NEC_01	Inoculum_type	Sample_or_Control	Batch	Sample_time_point	No_ID	Substrate
P27	102	Other	Pig	CVT_MO	1	m	1285	79	15	YES	Other	TRUE_sample	Other	Other	Other	Other
P34	104	Other	Pig	CON	1	m	1309	85	11	YES	Other	TRUE_sample	Other	Other	Other	Other
P41	108	Other	Pig	CVT_MO	1	f	1091	76	10	YES	Other	TRUE_sample	Other	Other	Other	Other
P49	109	Other	Pig	CVT_MO	1	f	1268	71	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P3	111	Other	Pig	CON	1	m	949	88	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P10	112	Other	Pig	CVT	1	f	1138	71	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P17	113	Other	Pig	FVT	1	f	1002	43	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P26	114	Other	Pig	CVT	1	m	1200	48	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P33	115	Other	Pig	FVT	1	m	983	56	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P40	116	Other	Pig	CON	1	f	972	96	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P32	118	Other	Pig	CVT_MO	1	m	1120	88	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P39	119	Other	Pig	CVT	1	f	721	91	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P45	120	Other	Pig	CON	1	f	1190	96	2	YES	Other	TRUE_sample	Other	Other	Other	Other
P1	121	Other	Pig	CVT_MO	1	f	898	78	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P15	124	Other	Pig	CVT	2	f	619	58	0	NO	Other	TRUE_sample	Other	Other	Other	Other
P22	127	Other	Pig	FVT	2	f	1149	76	16	YES	Other	TRUE_sample	Other	Other	Other	Other
