""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU_2"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"UCG-002"	"Unclassified _UCG-002"
"OTU_4"	0.038768808427743	-0.0738338521179686	2.91796305837958	-0.0253032168813578	0.979813108053664	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"[Eubacterium]_nodatum_group"	"Unclassified _[Eubacterium]_nodatum_group"
"OTU_8"	0	NA	NA	NA	NA	NA	"Bacteria"	"Spirochaetota"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Sphaerochaeta"	"Unclassified _Sphaerochaeta"
"OTU_16"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Mitsuokella"	"Unclassified _Mitsuokella"
"OTU_17"	2.0860495549251	2.9894083976235	0.774617084940944	3.85920793091133	0.00011375512024103	0.000796285841687211	"Eukaryota"	"Vertebrata"	"Mammalia"	"Unclassified_Mammalia"	"Unclassified_Mammalia"	"Unclassified_Mammalia"	"Unclassified_Mammalia"
"OTU_19"	0	NA	NA	NA	NA	NA	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotellaceae_NK3B31_group"	"Unclassified _Prevotellaceae_NK3B31_group"
"OTU_20"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia_vadinBB60_group"	"Unclassified_Clostridia_vadinBB60_group"	"Unclassified_Clostridia_vadinBB60_group"	"Unclassified_Clostridia_vadinBB60_group"
"OTU_23"	56.8105540553178	-0.581165145793251	0.378457076678533	-1.5356170662569	0.124632326023025	0.174485256432234	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	"Unclassified _Rothia"
"OTU_24"	0	NA	NA	NA	NA	NA	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Rikenellaceae_RC9_gut_group"	"Unclassified _Rikenellaceae_RC9_gut_group"
"OTU_25"	0	NA	NA	NA	NA	NA	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella_9"	"Unclassified _Prevotella_9"
"OTU_28"	0.032660796606601	-0.136559189375272	2.91796305837958	-0.0467994921947735	0.962673033761529	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	"Unclassified _Holdemanella"
"OTU_40"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"[Eubacterium]_coprostanoligenes_group"	"Unclassified_[Eubacterium]_coprostanoligenes_group"	"Unclassified_[Eubacterium]_coprostanoligenes_group"
"OTU_46"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Butyricicoccaceae"	"UCG-009"	"Unclassified _UCG-009"
"OTU_54"	0.24998945224051	-1.02393723471812	1.36152372709704	-0.752052435326482	0.452019526328842	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Christensenellales"	"Christensenellaceae"	"Christensenellaceae_R-7_group"	"Unclassified _Christensenellaceae_R-7_group"
"OTU_57"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"RF39"	"Unclassified_RF39"	"Unclassified_RF39"	"Unclassified_RF39"
"OTU_58"	0	NA	NA	NA	NA	NA	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Unclassified_Muribaculaceae"	"Unclassified_Muribaculaceae"
"OTU_63"	0.0101119357793794	-0.26200986388988	2.91796305837958	-0.0897920428216048	0.928452471556279	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Unclassified_Bacilli"	"Unclassified_Bacilli"	"Unclassified_Bacilli"	"Unclassified_Bacilli"
"OTU_66"	0.0600596739428018	0.303351369673019	2.91795402081353	0.103960298040764	0.917200855366674	NA	"Bacteria"	"Firmicutes"	"Clostridia"	"Unclassified_Clostridia"	"Unclassified_Clostridia"	"Unclassified_Clostridia"	"Unclassified_Clostridia"
"OTU_68"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"uncultured"	"Unclassified _uncultured"
"OTU_93"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Unclassified_Lactobacillaceae"	"Unclassified_Lactobacillaceae"
"OTU_100"	0	NA	NA	NA	NA	NA	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium_animalis"
"OTU_102"	0.0263383181995786	-0.199284526632576	2.91796305837958	-0.0682957675081892	0.945550193303422	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus_sanguinis"
"OTU_114"	3.01515051279304	0.412500599073553	0.545141738884657	0.756685041063845	0.44923857890533	0.491354695677705	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"	"Unclassified _Klebsiella"
"OTU_119"	0.0597517824489575	-0.458738401638127	2.89720655370107	-0.158338176148368	0.874190327342004	NA	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Phascolarctobacterium"	"Unclassified _Phascolarctobacterium"
"OTU_128"	0.0410392109875855	-0.458738474588602	2.91796305837958	-0.157211885623854	0.875077861408783	NA	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Sutterella"	"Sutterella_sp."
"OTU_130"	0	NA	NA	NA	NA	NA	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Unclassified _Prevotella"
"OTU_136"	0	NA	NA	NA	NA	NA	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pasteurellaceae"	"Unclassified_Pasteurellaceae"	"Unclassified_Pasteurellaceae"
"OTU_145"	0.0127877055204252	-0.199284526632576	2.91796305837958	-0.0682957675081892	0.945550193303422	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelatoclostridiaceae"	"Sharpea"	"Unclassified _Sharpea"
"OTU_148"	7.58294139355317	0.508464394375664	0.302746406335587	1.67950596187108	0.0930534779251886	0.138590286271558	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Unclassified_Enterobacteriaceae"	"Unclassified_Enterobacteriaceae"
"OTU_157"	0.131256899055354	0.275115078790958	1.38971615907399	0.197964941973673	0.843072493110472	NA	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pectobacteriaceae"	"Pectobacterium"	"Pectobacterium_carotovorum"
"OTU_159"	0.564691692822476	2.25044644813898	1.4778180702542	1.52281697824407	0.127804501050718	0.175417942618633	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium_sensu_stricto_2"	"Unclassified _Clostridium_sensu_stricto_2"
