"","Domian","Phylum","Class","Order","Family","Genus","Species"
"vOTU_6108","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6117","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_12219","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_13205","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_5818","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_13106","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_2039","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6167","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_7328","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_10874","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_10838","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6346","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_12276","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6486","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_11921","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_14134","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_8399","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_10508","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_20182","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_7600","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_3965","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_14180","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_13768","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_16383","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_13135","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_605","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6264","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_14807","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_11615","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_16280","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_8533","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9171","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9214","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6648","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_15748","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_7106","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_8596","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_11470","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_7363","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_8075","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6234","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_31437","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6889","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_8439","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9425","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_23185","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_16337","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_8103","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9838","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_21382","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9590","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9968","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_25235","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_13210","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6993","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_11327","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_13262","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_10132","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9325","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_10502","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_14726","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9494","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_20205","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_14914","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_24399","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_6132","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9169","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_16177","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_17993","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_651","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_7082","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9644","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_5073","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_5441","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_454","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_11014","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_7028","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9777","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_392","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
