vOTU	Chem_1	Chem_10	Chem_11	Chem_12	Chem_13	Chem_14	Chem_15	Chem_16	Chem_17	Chem_18	Chem_19	Chem_2	Chem_20	Chem_21	Chem_22	Chem_23	Chem_24	Chem_25	Chem_26	Chem_27	Chem_28	Chem_29	Chem_3	Chem_30	Chem_31	Chem_32	Chem_33	Chem_34	Chem_35	Chem_36	Chem_37	Chem_38	Chem_39	Chem_4	Chem_40	Chem_41	Chem_42	Chem_43	Chem_44	Chem_45	Chem_46	Chem_47	Chem_48	Chem_49	Chem_5	Chem_50	Chem_51	Chem_52	Chem_53	Chem_54	Chem_55	Chem_56	Chem_57	Chem_58	Chem_59	Chem_6	Chem_60	Chem_61	Chem_62	Chem_63	Chem_7	Chem_8	Chem_9	P1	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P2	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P3	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P4	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P5	P50	P51	P52	P53	P54	P55	P56	P57	P58	P6	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P7	P70	P71	P8	P9
vOTU_19	0.002810593694797506	0.0039675707242640135	0.23776040485215547	19.98855304715787	0.17235876305773185	0.08730989930643693	0.01562017064730385	0.005423838060071679	0.0077533633217410506	0.009593179682296452	0.0017331481102837647	0.35248870546946437	0.27621824434259296	7.163956813698638	0.12825046373428584	0.2417737622196519	0.029129435294936622	0.018788516492556313	0.012841587429844543	0.009594917492960882	0.003941350900723296	0.08304185508725591	15.827781268527355	16.132892448835936	0.0	0.05864299432399125	0.1296905717264437	0.07343214700202874	0.029942643598172256	0.009928164518426999	0.008821778402467152	0.004815945047846868	0.0	0.2718198257570416	0.0	9.948677277017074	0.15071005331793036	0.1365186839674168	0.02050427830415932	0.013403327305434812	0.018572397490103372	0.015883743326448582	0.001422227384187418	0.28710539387155315	0.12552655871661608	13.602485651603608	0.1733660511874712	0.10728587086879199	0.10834609768581016	0.025224610896457958	0.013833523008409706	0.017078296117514585	0.006446669022169541	0.7978908214596849	0.002558523521509886	0.01976781922852574	0.004310004075821543	0.012082904483375833	0.11053836919940126	0.0	0.0052960040745059864	0.009997873602537233	0.010313059394199799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.44733790579881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1973372810349819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_24	0.024297615510187685	0.03185636939862088	0.0	0.11188540662709368	0.024543746969625205	0.010278628500234045	0.0	0.0	0.0	0.0	0.061288620501184166	0.0	0.0	0.27387496819674517	0.046923202275598215	0.0	0.010910751170086014	0.0	0.0	0.0	0.03541709718887313	0.0	0.11389911012848228	0.13320208541608305	0.0	0.0	0.021619156880872053	0.0052560323972216825	0.0	0.0	0.0	0.0	0.04786096352360774	0.03269840137543776	0.0	0.11649191305933547	0.03681652934559549	0.014655008900674431	0.0	0.0	0.0	0.0	0.04818089596272416	0.0	0.008946665954888501	0.14121467552107717	0.029614010878757403	0.012963022327706306	0.0072079301668285705	0.0	0.0	0.0	0.527261092024339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0071720775711751365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5603761817671207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_30	0.01317250274965284	0.01737860520791361	0.15256458201614106	0.37171220175093156	2.693558034259414	1.5896310293666969	0.7978465688361277	0.05227765042663278	0.0037362006921809634	0.00517165109849388	0.03508277001323801	0.09015871577520972	0.1285808540586477	0.3924556130799182	4.762276880798414	0.0	1.6469072470028818	0.048860915720874636	0.0	0.0	0.023143015939026842	0.0	0.1451412144035773	0.14680798600211376	0.0	0.0	2.5052298050020196	0.9199387693892992	0.4444921330951271	0.08133484791312026	0.008657042531921177	0.007360177555541085	0.021540700762970058	2.410278512620509	0.04328585050289554	0.24436458516396453	4.11922010292404	1.227773950302522	0.6789222574783913	0.03576679192739501	0.0	0.0	0.020473277059851344	0.08663108406200902	1.1545717552836092	0.28902712196195185	4.030888538557387	1.5211849159523476	1.3241210501455618	0.04882872440922685	0.00802958501971867	0.0	0.08481444573547747	0.0	0.0018828894493257934	0.40325539623235623	0.0016919545253085923	0.009471838004180461	0.0	0.0	0.1927878202893615	0.007900162081819893	0.006876918309094333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21477184267058796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_31	0.0	0.0	0.0	0.0	0.6831394904068693	0.506410567982879	0.15598754898486178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4414865624732602	0.0	0.5630591444805433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6727087595725539	0.17829295436907094	0.14785781369172538	0.0	0.0	0.0	0.0	1.0187385253792682	0.0	0.0	1.3898757478733408	0.4210913993782795	0.0	0.0	0.0	0.0	0.0	0.0	0.3311972478460677	0.0	1.4186609754049908	0.48379797183737294	0.37893625733302444	0.0	0.0	0.0	0.07613149459854532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_32	0.0	0.005683460891154281	0.0	0.0	0.34572285908062744	0.0	0.10517803580361662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14616811856046708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33984596104573705	0.1801849407543823	0.0	0.0	0.0	0.0	0.0	0.10294177544973115	0.0	0.0	0.28147266540848603	0.10666350520381912	0.0	0.0	0.0	0.0	0.0	0.0	0.055939099173081715	0.0	0.0	0.18392140853282332	0.12801789213718434	0.0	0.0	0.0	0.0030014003721208905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_35	0.0018421574847849347	0.0074319694287902985	0.0	0.07290515697692335	0.0121578025473339	0.0	0.0	0.0	0.0	0.0	0.009634229331962358	0.0	0.0	0.07883135090260145	0.015222837689901809	0.0	0.0	0.0	0.0	0.0	0.01064792470610967	0.0	0.11915850397965556	0.05751789840760667	0.0	0.0	0.005426401914552256	0.0	0.0	0.0	0.0	0.0	0.010483165896002646	0.016004354549406595	0.0	0.04577040331095021	0.016133663497534423	0.005835938950463251	0.0	0.0	0.0	0.0	0.01050261970800916	0.0	0.0054491230326420385	0.042193911599757807	0.007142999388820416	0.005629325239159378	0.0	0.0	0.0	0.0	0.10677386811519386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1590327809092333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_37	0.01733746559954377	0.012369598482217577	0.0	0.03952036268480234	0.01777666957386217	0.012892324818020983	0.021205899695112544	0.07760423138879739	1.6875162706772373	3.826270000067767	0.020152175774355026	0.0	0.0	0.10631860711586114	0.035147365299811	0.0	0.01581986079958972	0.0	0.0	0.0	0.020399316884095384	0.0	0.11896171700739719	0.08134123582656724	0.0	0.0	0.021981892792251143	0.006721534072706936	0.0038793436087964485	0.008366391766067294	0.5695568262630558	0.9831017429234281	0.023136583251838868	0.03292290318093768	0.0	0.07311085343232313	0.04600237372448916	0.012861581527516671	0.01739728064535363	0.08838385880917489	12.128169755088713	13.753365467566809	0.018010518429084847	0.0	0.008575086036788549	0.05247115732934145	0.01141294008733954	0.0	0.003856499782296924	0.0	0.0	0.03912210086610758	0.030848702861105262	0.0	0.0	0.034391693190689465	0.30859695819586785	0.0	0.0	0.0	0.48866647866360835	9.19462302535114	4.634731597200815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30936426216000823	0.0	5.658074326880732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_43	0.0034855664017178134	0.003815611981765636	0.0	0.009953850283145344	0.002264105229356984	0.001458940947681857	0.0	0.0	0.0	0.0	0.008018414764499927	0.0	0.0	0.02811013742493589	0.004065959259228766	0.0	0.000694137825803305	0.0	0.0	0.0	0.004520631150387896	0.0	0.009259733926640066	0.013449761833837599	0.0	0.0	0.002227072606746818	0.0005420930700183312	0.0	0.0	0.0	0.0	0.0060221937203004255	0.0030971714963908556	0.0	0.011611096156680375	0.003880804374319501	0.0017650284613946773	0.0	0.0	0.0	0.0	0.007198365297849255	0.0	0.001035221739034392	0.016755649604660833	0.003070735086565351	0.0010537110127468573	0.0009178420492879852	0.0	0.0	0.0	0.06333882022604478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026228930368258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04624741386534121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_50	0.0014546782725287628	0.0015297978164643734	0.0	0.00899075557230074	0.0	0.0	0.0	0.0	0.0	0.0	0.0023540726621355005	0.0	0.0	0.03714076621160234	0.0	0.0	0.007497055671858986	0.0	0.0	0.0	0.0026018135032505525	0.0	0.020603697089459323	0.033160093269016665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032259374882836036	0.005525903994368621	0.0	0.01950797899701925	0.0	0.0	0.0	0.0	0.0	0.0	0.002086254719316994	0.0	0.0	0.021532833757314438	0.0	0.0	0.011206875642420218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0733632058128014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vOTU_55	0.000842272999821197	0.0023235066493320334	0.0	0.06502019684559827	0.0063833962952980355	0.0	0.0	0.0	0.0	0.0	0.003445906808233664	0.0	0.0	0.05869494651821229	0.007828564719830438	0.0	0.0	0.0	0.0	0.0	0.0031354085770171963	0.0	0.09047484875689671	0.0625159967046748	0.0	0.0	0.004293970440948734	0.0	0.0	0.0	0.0	0.0	0.0023053183259473435	0.006277051375402653	0.0	0.03388391215659722	0.007287509933769897	0.002552916512459861	0.0	0.0	0.0	0.0	0.0023248687517208417	0.0	0.003168623580125404	0.05287832217119485	0.005670975868159298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015154894879399654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01865217994071603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
