vOTU	Chem_1	Chem_10	Chem_11	Chem_12	Chem_13	Chem_14	Chem_15	Chem_16	Chem_17	Chem_18	Chem_19	Chem_2	Chem_20	Chem_21	Chem_22	Chem_23	Chem_24	Chem_25	Chem_26	Chem_27	Chem_28	Chem_29	Chem_3	Chem_30	Chem_31	Chem_32	Chem_33	Chem_34	Chem_35	Chem_36	Chem_37	Chem_38	Chem_39	Chem_4	Chem_40	Chem_41	Chem_42	Chem_43	Chem_44	Chem_45	Chem_46	Chem_47	Chem_48	Chem_49	Chem_5	Chem_50	Chem_51	Chem_52	Chem_53	Chem_54	Chem_55	Chem_56	Chem_57	Chem_58	Chem_59	Chem_6	Chem_60	Chem_61	Chem_62	Chem_63	Chem_7	Chem_8	Chem_9	P1	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P2	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P3	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P4	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P5	P50	P51	P52	P53	P54	P55	P56	P57	P58	P6	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P7	P70	P71	P8	P9
vOTU_19	2810.593695	3967.570724	237760.4049	19988553.05	172358.7631	87309.89931	15620.17065	5423.83806	7753.363322	9593.179682	1733.14811	352488.7055	276218.2443	7163956.814	128250.4637	241773.7622	29129.43529	18788.51649	12841.58743	9594.917493	3941.350901	83041.85509	15827781.27	16132892.45	0	58642.99432	129690.5717	73432.147	29942.6436	9928.164518	8821.778402	4815.945048	0	271819.8258	0	9948677.277	150710.0533	136518.684	20504.2783	13403.32731	18572.39749	15883.74333	1422.227384	287105.3939	125526.5587	13602485.65	173366.0512	107285.8709	108346.0977	25224.6109	13833.52301	17078.29612	6446.669022	797890.8215	2558.523522	19767.81923	4310.004076	12082.90448	110538.3692	0	5296.004075	9997.873603	10313.05939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11447337.91	0	0	0	0	0	0	0	197337.281	0	0	0	0	0	0	0	0	0
vOTU_24	24297.61551	31856.3694	0	111885.4066	24543.74697	10278.6285	0	0	0	0	61288.6205	0	0	273874.9682	46923.20228	0	10910.75117	0	0	0	35417.09719	0	113899.1101	133202.0854	0	0	21619.15688	5256.032397	0	0	0	0	47860.96352	32698.40138	0	116491.9131	36816.52935	14655.0089	0	0	0	0	48180.89596	0	8946.665955	141214.6755	29614.01088	12963.02233	7207.930167	0	0	0	527261.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7172.077571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560376.1818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_30	13172.50275	17378.60521	152564.582	371712.2018	2693558.034	1589631.029	797846.5688	52277.65043	3736.200692	5171.651098	35082.77001	90158.71578	128580.8541	392455.6131	4762276.881	0	1646907.247	48860.91572	0	0	23143.01594	0	145141.2144	146807.986	0	0	2505229.805	919938.7694	444492.1331	81334.84791	8657.042532	7360.177556	21540.70076	2410278.513	43285.8505	244364.5852	4119220.103	1227773.95	678922.2575	35766.79193	0	0	20473.27706	86631.08406	1154571.755	289027.122	4030888.539	1521184.916	1324121.05	48828.72441	8029.58502	0	84814.44574	0	1882.889449	403255.3962	1691.954525	9471.838004	0	0	192787.8203	7900.162082	6876.918309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214771.8427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_31	0	0	0	0	683139.4904	506410.568	155987.549	0	0	0	0	0	0	0	1441486.562	0	563059.1445	0	0	0	0	0	0	0	0	0	672708.7596	178292.9544	147857.8137	0	0	0	0	1018738.525	0	0	1389875.748	421091.3994	0	0	0	0	0	0	331197.2478	0	1418660.975	483797.9718	378936.2573	0	0	0	76131.4946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_32	0	5683.460891	0	0	345722.8591	0	105178.0358	0	0	0	0	0	0	0	146168.1186	0	0	0	0	0	0	0	0	0	0	0	339845.961	180184.9408	0	0	0	0	0	102941.7754	0	0	281472.6654	106663.5052	0	0	0	0	0	0	55939.09917	0	0	183921.4085	128017.8921	0	0	0	3001.400372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_35	1842.157485	7431.969429	0	72905.15698	12157.80255	0	0	0	0	0	9634.229332	0	0	78831.3509	15222.83769	0	0	0	0	0	10647.92471	0	119158.504	57517.89841	0	0	5426.401915	0	0	0	0	0	10483.1659	16004.35455	0	45770.40331	16133.6635	5835.93895	0	0	0	0	10502.61971	0	5449.123033	42193.9116	7142.999389	5629.325239	0	0	0	0	106773.8681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159032.7809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_37	17337.4656	12369.59848	0	39520.36268	17776.66957	12892.32482	21205.8997	77604.23139	1687516.271	3826270	20152.17577	0	0	106318.6071	35147.3653	0	15819.8608	0	0	0	20399.31688	0	118961.717	81341.23583	0	0	21981.89279	6721.534073	3879.343609	8366.391766	569556.8263	983101.7429	23136.58325	32922.90318	0	73110.85343	46002.37372	12861.58153	17397.28065	88383.85881	12128169.76	13753365.47	18010.51843	0	8575.086037	52471.15733	11412.94009	0	3856.499782	0	0	39122.10087	30848.70286	0	0	34391.69319	308596.9582	0	0	0	488666.4787	9194623.025	4634731.597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309364.2622	0	5658074.327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_43	3485.566402	3815.611982	0	9953.850283	2264.105229	1458.940948	0	0	0	0	8018.414764	0	0	28110.13742	4065.959259	0	694.1378258	0	0	0	4520.63115	0	9259.733927	13449.76183	0	0	2227.072607	542.09307	0	0	0	0	6022.19372	3097.171496	0	11611.09616	3880.804374	1765.028461	0	0	0	0	7198.365298	0	1035.221739	16755.6496	3070.735087	1053.711013	917.8420493	0	0	0	63338.82023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262.2893037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46247.41387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_50	1454.678273	1529.797816	0	8990.755572	0	0	0	0	0	0	2354.072662	0	0	37140.76621	0	0	7497.055672	0	0	0	2601.813503	0	20603.69709	33160.09327	0	0	0	0	0	0	0	0	3225.937488	5525.903994	0	19507.979	0	0	0	0	0	0	2086.254719	0	0	21532.83376	0	0	11206.87564	0	0	0	0	0	0	0	73363.20581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_55	842.2729998	2323.506649	0	65020.19685	6383.396295	0	0	0	0	0	3445.906808	0	0	58694.94652	7828.56472	0	0	0	0	0	3135.408577	0	90474.84876	62515.9967	0	0	4293.970441	0	0	0	0	0	2305.318326	6277.051375	0	33883.91216	7287.509934	2552.916512	0	0	0	0	2324.868752	0	3168.62358	52878.32217	5670.975868	0	0	0	0	0	0	0	1515.489488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18652.17994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
